scenario_name,band,scene,visibility_km,raw_row_count,evaluated_raw_count,envelope_point_count,r2,nrmse,highangle_nrmse,tail150_nrmse,raw_point_coverage,raw_ratio_p95,raw_ratio_p99
rural_vis_7.5km,vis,rural,7.5,17161,16253,33,0.9966067284257889,0.012372656334324996,0.018261332991047045,0.030786649922000836,0.9994462560758014,0.958060763683789,0.9860069506372771
rural_vis_10km,vis,rural,10.0,17161,16253,33,0.9979955261325757,0.009646344074823749,0.014742058909692133,0.022919635822628744,0.9993232018704239,0.9594488942438781,0.9865961156407169
rural_vis_12km,vis,rural,12.0,17161,16253,33,0.9984859093007793,0.008491562706179387,0.014532439140918117,0.02166256702349262,0.9993847289731127,0.9573325752254017,0.9830413484686382
rural_vis_15km,vis,rural,15.0,17161,16253,33,0.9988262954095173,0.007592511714825787,0.015942342009805755,0.02397876581881223,0.999077093459669,0.9528586219095616,0.9815071423293346
rural_vis_18km,vis,rural,18.0,17161,16253,33,0.9989916503783338,0.007134547525428586,0.019324020050834737,0.02820018534105932,0.9990155663569803,0.9489642714191199,0.9782412588069048
rural_vis_20km,vis,rural,20.0,17161,16253,33,0.999001912712785,0.0071569080979959985,0.021860601511735196,0.031341518587779706,0.9987079308435366,0.9475408704194678,0.9773621042277123
rural_vis_22km,vis,rural,22.0,17161,16253,33,0.9989582426558756,0.007347212791316709,0.024422674504725624,0.03438448528809844,0.9984618224327816,0.9439887799605831,0.976719716378568
rural_vis_25km,vis,rural,25.0,17161,16253,33,0.9983790557524779,0.009242850223297018,0.02701844796273365,0.03730775341242976,0.9984002953300929,0.9399118685307541,0.9735704293266134
rural_vis_28km,vis,rural,28.0,17161,16253,33,0.9981104964049256,0.01001597188293816,0.029187499689242283,0.03973534457324396,0.9982772411247154,0.9366861558566022,0.9722489400389591
rural_vis_30km,vis,rural,30.0,17161,16253,33,0.9977410065243829,0.011000396300800418,0.030796417088156464,0.041518154098144314,0.9980311327139605,0.9333581535044339,0.9715110227922596
